2015-05-04T15:31:03.728+0200 I JOURNAL  [initandlisten] journal dir=/Users/odin.delrio/dev/training/mongodb-m102/final-exam/question-01/data/z1/journal
2015-05-04T15:31:03.729+0200 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-05-04T15:31:03.748+0200 I JOURNAL  [durability] Durability thread started
2015-05-04T15:31:03.748+0200 I CONTROL  [initandlisten] MongoDB starting : pid=35506 port=27001 dbpath=/Users/odin.delrio/dev/training/mongodb-m102/final-exam/question-01/data/z1 64-bit host=MAC-0215-2.local
2015-05-04T15:31:03.748+0200 I JOURNAL  [journal writer] Journal writer thread started
2015-05-04T15:31:03.748+0200 I CONTROL  [initandlisten] db version v3.0.2
2015-05-04T15:31:03.749+0200 I CONTROL  [initandlisten] git version: nogitversion
2015-05-04T15:31:03.749+0200 I CONTROL  [initandlisten] build info: Darwin yosemitevm.local 14.3.0 Darwin Kernel Version 14.3.0: Mon Mar 23 11:59:05 PDT 2015; root:xnu-2782.20.48~5/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-05-04T15:31:03.749+0200 I CONTROL  [initandlisten] allocator: system
2015-05-04T15:31:03.749+0200 I CONTROL  [initandlisten] options: { net: { port: 27001 }, processManagement: { fork: true }, replication: { oplogSizeMB: 50, replSet: "z" }, storage: { dbPath: "data/z1", mmapv1: { smallFiles: true } }, systemLog: { destination: "file", path: "a.log" } }
2015-05-04T15:31:03.984+0200 I NETWORK  [initandlisten] waiting for connections on port 27001
2015-05-04T15:31:03.985+0200 W NETWORK  [ReplicationExecutor] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:03.985+0200 I REPL     [ReplicationExecutor] New replica set config in use: { _id: "z", version: 1, members: [ { _id: 1, host: "localhost:27001", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "localhost:27002", arbiterOnly: true, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 3, host: "localhost:27003", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatTimeoutSecs: 10, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 } } }
2015-05-04T15:31:03.986+0200 I REPL     [ReplicationExecutor] This node is localhost:27001 in the config
2015-05-04T15:31:03.986+0200 I REPL     [ReplicationExecutor] transition to STARTUP2
2015-05-04T15:31:03.986+0200 I REPL     [ReplicationExecutor] Starting replication applier threads
2015-05-04T15:31:03.986+0200 I REPL     [ReplicationExecutor] transition to RECOVERING
2015-05-04T15:31:03.987+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:03.987+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:03.988+0200 I REPL     [ReplicationExecutor] transition to SECONDARY
2015-05-04T15:31:03.988+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:03.988+0200 I REPL     [ReplicationExecutor] Member localhost:27002 is now in state ARBITER
2015-05-04T15:31:03.989+0200 I REPL     [ReplicationExecutor] Standing for election
2015-05-04T15:31:03.990+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:03.990+0200 I REPL     [ReplicationExecutor] not electing self, localhost:27002 would veto with 'I don't think localhost:27001 is electable because the member is not currently a secondary (mask 0x8)'
2015-05-04T15:31:03.990+0200 I REPL     [ReplicationExecutor] not electing self, we are not freshest
2015-05-04T15:31:03.991+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:03.991+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:03.991+0200 I REPL     [ReplicationExecutor] Standing for election
2015-05-04T15:31:03.991+0200 I REPL     [ReplicationExecutor] not electing self, localhost:27002 would veto with 'I don't think localhost:27001 is electable because the member is not currently a secondary (mask 0x8)'
